,Age,Amount_Month
0,42.0,96900
1,39.0,102900
2,48.0,96900
3,39.0,66900
4,60.0,66900
5,53.0,90900
6,66.0,98400
7,66.0,80400
8,62.0,102900
9,51.0,105900
10,39.0,81900
11,39.0,81900
12,35.0,90900
13,50.0,96900
14,48.0,90900
15,59.0,66900
16,61.0,96900
17,32.0,96900
18,87.0,66900
19,58.0,105900
20,43.0,66900
21,72.0,111900
22,,96900
23,,87900
24,40.0,134700
25,40.0,89400
26,73.0,66900
27,50.0,105900
28,48.0,66900
29,38.0,96900
30,,66900
31,51.0,66900
32,57.0,142200
33,48.0,96900
34,59.0,96900
35,48.0,102900
36,43.0,90900
37,,96600
38,48.0,96900
39,63.0,142200
40,63.0,96900
41,63.0,96900
42,29.0,105900
43,57.0,105900
44,65.0,96900
45,51.0,96900
46,62.0,96900
47,65.0,66900
48,37.0,98400
49,37.0,80400
