,Index,Member_ID,Sales_Type,Contract_Type,Channel,Datetime,Term,Payment_Type,Product_Type,Amount_Month,Customer_Type,Age,Address1,Address2,State,Overdue_count,Overdue_Type,Gender,Credit_Rank,Bank
38497,38499,25734005,렌탈,프로모션계약,영업방판,2022-06-04,39,CMS,MMC,215700, 사업자,58.0,전라도,전라도,계약확정,0,없음,남자,1.0,농협중앙회
44163,44165,66793452,렌탈,프로모션계약,영업방판,2022-04-28,39,CMS,MMC,185700, 개인,28.0,경상도,경상도,계약확정,12,있음,여자,7.0,대구은행
45664,45666,66794991,렌탈,프로모션계약,영업방판,2023-02-05,39,CMS,MMC,185700, 개인,29.0,경기도,경기도,계약확정,12,있음,남자,8.0,농협회원조합
39388,39390,66788111,렌탈,프로모션계약,영업방판,2022-07-16,39,CMS,MMC,185700, 개인,30.0,경상도,경상도,계약확정,0,없음,여자,6.0,농협회원조합
18115,18117,66770999,렌탈,프로모션계약,대형마트E,2022-07-29,39,CMS,MMC,185700, 개인,31.0,전라도,전라도,계약확정,0,없음,여자,8.0,농협회원조합
47809,47811,66796415,렌탈,프로모션계약,영업방판,2022-04-28,39,CMS,MMC,185700, 개인,33.0,서울특별시,서울특별시,계약확정,0,없음,여자,4.0,국민은행
42776,42778,66791390,렌탈,프로모션계약,영업방판,2022-02-15,39,CMS,MMC,185700, 개인,34.0,경기도,경기도,계약확정,11,있음,여자,7.0,하나은행
30396,30398,66715429,렌탈,프로모션계약,전단홍보,2022-07-14,39,카드이체,MMC,185700, 개인,36.0,전라도,전라도,계약확정,0,없음,남자,4.0,현대카드
7584,7585,66763648,렌탈,프로모션계약,영업방판,2022-07-12,39,카드이체,MMC,185700, 개인,37.0,경상도,경상도,계약확정,0,없음,여자,5.0,롯데카드
50381,50383,66798387,렌탈,프로모션계약,영업방판,2022-02-23,39,카드이체,MMC,185700, 개인,37.0,경기도,경기도,계약확정,0,없음,남자,3.0,롯데카드
50752,50754,66798515,렌탈,프로모션계약,영업방판,2022-02-27,39,CMS,MMC,185700, 개인,37.0,서울특별시,서울특별시,계약확정,8,있음,남자,6.0,농협회원조합
24404,24406,66775879,렌탈,프로모션계약,영업방판,2023-05-09,39,CMS,MMC,185700, 개인,38.0,전라도,전라도,계약확정,0,없음,여자,6.0,농협회원조합
37978,37980,66597307,렌탈,프로모션계약,영업방판,2022-07-05,39,CMS,MMC,185700, 개인,38.0,서울특별시,서울특별시,계약확정,0,없음,남자,7.0,국민은행
46925,46927,66794997,렌탈,프로모션계약,영업방판,2022-08-30,39,CMS,MMC,185700, 개인,38.0,충청도,충청도,계약확정,0,없음,남자,7.0,국민은행
50019,50021,66798682,렌탈,프로모션계약,영업방판,2022-02-22,39,카드이체,MMC,185700, 개인,38.0,경기도,경기도,계약확정,0,없음,남자,7.0,현대카드
50261,50263,66798549,렌탈,프로모션계약,영업방판,2022-10-23,39,카드이체,MMC,185700, 개인,38.0,서울특별시,서울특별시,계약확정,0,없음,남자,1.0,NH농협카드
4890,4891,66762367,렌탈,프로모션계약,영업방판,2022-01-07,39,CMS,MMC,185700, 개인,39.0,경기도,경기도,계약확정,3,있음,남자,6.0,우리은행
12232,12233,66764238,렌탈,프로모션계약,영업방판,2022-03-14,39,CMS,MMC,185700, 개인,39.0,전라도,광주광역시,계약확정,0,없음,여자,8.0,광주은행
28975,28977,66779227,렌탈,프로모션계약,영업방판,2022-01-30,39,CMS,MMC,185700, 개인,39.0,충청도,대전광역시,계약확정,0,없음,여자,1.0,농협중앙회
46942,46944,66795774,렌탈,프로모션계약,영업방판,2022-03-06,39,CMS,MMC,185700, 개인,39.0,경기도,경기도,계약확정,0,없음,남자,8.0,농협회원조합
46786,46788,66303427,렌탈,프로모션계약,영업방판,2022-03-20,39,CMS,MMC,185700, 개인,40.0,경기도,경기도,계약확정,0,없음,여자,1.0,우리은행
15584,15586,66768777,렌탈,프로모션계약,영업방판,2023-01-21,39,CMS,MMC,185700, 개인,41.0,전라도,전라도,계약확정,0,없음,남자,2.0,신한은행
24088,24090,66773379,렌탈,프로모션계약,영업방판,2022-04-07,39,CMS,MMC,185700, 개인,41.0,강원도,강원도,계약확정,0,없음,남자,7.0,우리은행
45703,45705,66791940,렌탈,프로모션계약,대형마트A,2022-02-18,39,카드이체,MMC,185700, 개인,41.0,경상도,부산광역시,계약확정,0,없음,남자,5.0,국민카드
28820,28822,66779976,렌탈,프로모션계약,영업방판,2022-01-30,39,CMS,MMC,185700, 개인,42.0,서울특별시,서울특별시,계약확정,12,있음,남자,6.0,하나은행
28862,28864,66779976,렌탈,프로모션계약,영업방판,2022-01-31,39,CMS,MMC,185700, 개인,42.0,경기도,경기도,계약확정,12,있음,남자,6.0,하나은행
43800,43802,66792614,렌탈,프로모션계약,영업방판,2023-07-18,39,CMS,MMC,185700, 개인,43.0,경상도,경상도,계약확정,0,없음,남자,5.0,농협회원조합
6107,6108,66762736,렌탈,프로모션계약,영업방판,2023-02-06,39,CMS,MMC,185700, 개인,44.0,경상도,경상도,계약확정,0,없음,남자,1.0,농협회원조합
9864,9865,66762737,렌탈,프로모션계약,영업방판,2023-03-25,39,CMS,MMC,185700, 개인,44.0,경상도,경상도,계약확정,0,없음,남자,1.0,농협회원조합
38730,38732,66789152,렌탈,프로모션계약,영업방판,2022-03-28,39,CMS,MMC,185700, 개인,44.0,경기도,경기도,계약확정,0,없음,남자,1.0,신한은행
42147,42149,66788998,렌탈,프로모션계약,대형마트A,2022-02-28,39,CMS,MMC,185700, 개인,44.0,충청도,충청도,계약확정,0,없음,여자,2.0,기업은행
36688,36690,66785471,렌탈,프로모션계약,영업방판,2022-04-10,39,CMS,MMC,185700, 개인,45.0,경상도,울산광역시,계약확정,0,없음,여자,8.0,대구은행
8807,8808,66764097,렌탈,프로모션계약,영업방판,2022-01-14,39,CMS,MMC,185700, 개인,46.0,전라도,광주광역시,계약확정,0,없음,남자,4.0,농협중앙회
37569,37571,66788029,렌탈,일반계약,대형마트A,2022-07-13,39,CMS,MMC,185700, 개인,46.0,전라도,전라도,계약확정,0,없음,여자,2.0,전북은행
45504,45506,66794654,렌탈,프로모션계약,영업방판,2023-08-07,39,CMS,MMC,185700, 개인,47.0,경상도,대구광역시,계약확정,11,있음,남자,7.0,기업은행
43906,43908,66793157,렌탈,프로모션계약,영업방판,2022-04-28,39,CMS,MMC,185700, 개인,48.0,경기도,경기도,계약확정,12,있음,남자,6.0,농협중앙회
43907,43909,66793157,렌탈,프로모션계약,영업방판,2022-05-13,39,CMS,MMC,185700, 개인,48.0,경기도,경기도,계약확정,12,있음,남자,6.0,농협중앙회
49071,49073,66797246,렌탈,프로모션계약,대형마트A,2022-02-24,39,CMS,MMC,185700, 개인,49.0,충청도,세종자치시,계약확정,0,없음,남자,5.0,농협회원조합
17777,17779,66770693,렌탈,프로모션계약,영업방판,2022-02-21,39,카드이체,MMC,185700, 개인,50.0,전라도,전라도,계약확정,0,없음,남자,6.0,현대카드
43496,43498,66791526,렌탈,일반계약,대형마트A,2023-05-10,39,CMS,MMC,185700, 개인,50.0,충청도,충청도,계약확정,0,없음,남자,1.0,기업은행
43615,43617,66715679,렌탈,프로모션계약,대형마트A,2022-11-20,39,CMS,MMC,185700, 개인,50.0,경기도,인천광역시,계약확정,0,없음,남자,4.0,신한은행
43950,43952,66650911,렌탈,프로모션계약,대형마트A,2022-12-28,39,CMS,MMC,185700, 개인,50.0,서울특별시,서울특별시,계약확정,0,없음,여자,4.0,우체국
9966,9967,66765770,렌탈,프로모션계약,영업방판,2022-05-19,39,CMS,MMC,185700, 개인,51.0,경기도,경기도,계약확정,0,없음,남자,8.0,우체국
41072,41074,66791218,렌탈,프로모션계약,영업방판,2022-03-21,39,CMS,MMC,185700, 개인,51.0,경기도,경기도,계약확정,0,없음,남자,4.0,외환은행
519,520,66758149,렌탈,프로모션계약,영업방판,2022-01-23,39,CMS,MMC,185700, 개인,52.0,경상도,경상도,계약확정,10,있음,남자,7.0,농협중앙회
41162,41164,66790955,렌탈,프로모션계약,영업방판,2022-03-15,39,CMS,MMC,185700, 개인,52.0,경기도,인천광역시,계약확정,0,없음,여자,6.0,하나은행
727,728,66759077,렌탈,프로모션계약,영업방판,2022-12-20,39,CMS,MMC,185700, 개인,53.0,경기도,인천광역시,계약확정,1,있음,남자,8.0,농협회원조합
36629,36631,66785492,렌탈,프로모션계약,영업방판,2022-09-24,39,CMS,MMC,185700, 개인,53.0,전라도,전라도,계약확정,0,없음,남자,4.0,우체국
40240,40242,66790011,렌탈,일반계약,대형마트A,2022-12-16,39,카드이체,MMC,185700, 개인,53.0,경상도,경상도,계약확정,0,없음,여자,7.0,롯데카드
50464,50466,66758303,렌탈,프로모션계약,대형마트A,2022-04-02,39,CMS,MMC,185700, 개인,53.0,서울특별시,서울특별시,계약확정,0,없음,남자,1.0,국민은행
