,Index,Member_ID,Sales_Type,Contract_Type,Channel,Datetime,Term,Payment_Type,Product_Type,Amount_Month,Customer_Type,Age,Address1,Address2,State,Overdue_count,Overdue_Type,Gender,Credit_Rank,Bank
50,51,66758548,렌탈,일반계약,영업방판,2022-03-30,60,CMS,DES-1,96900, 개인,57.0,서울특별시,서울특별시,계약확정,0,없음,남자,4.0,국민은행
51,52,66758162,렌탈,패키지계약,홈쇼핑/방송,2022-10-02,60,카드이체,DES-1,98400, 개인,50.0,서울특별시,서울특별시,계약확정,0,없음,남자,5.0,국민카드
52,53,66758162,렌탈,패키지계약,홈쇼핑/방송,2022-05-03,60,카드이체,DES-2,80400, 개인,50.0,서울특별시,서울특별시,계약확정,0,없음,남자,5.0,국민카드
53,54,66590304,렌탈,프로모션계약,영업방판,2021-12-31,60,CMS,DES-2,90900, 개인,43.0,서울특별시,서울특별시,계약확정,0,없음,남자,4.0,신한은행
54,55,66670488,렌탈,프로모션계약,영업방판,2022-04-02,60,CMS,DES-1,96900, 개인,34.0,서울특별시,서울특별시,계약확정,0,없음,여자,4.0,우리은행
55,56,25856039,렌탈,교체계약,영업방판,2022-04-30,60,CMS,DES-1,96900, 사업자,,경상도,부산광역시,계약확정,0,없음,여자,,농협중앙회
56,57,25869517,렌탈,프로모션계약,영업방판,2022-07-21,60,가상계좌,DES-1,96900, 사업자,,경상도,부산광역시,계약확정,0,없음,여자,,
57,58,66757967,렌탈,프로모션계약,영업방판,2022-08-20,60,카드이체,DES-1,105900, 개인,37.0,경상도,경상도,계약확정,0,없음,여자,5.0,롯데카드
58,59,66260467,렌탈,교체계약,영업방판,2022-02-15,60,CMS,DES-1,96900, 개인,42.0,경상도,경상도,계약확정,0,없음,여자,1.0,우리은행
59,60,66758899,렌탈,패키지계약,전문매장H,2022-07-29,60,CMS,DES-1,81900, 개인,67.0,경상도,경상도,계약확정,0,없음,남자,2.0,대구은행
60,61,66758899,렌탈,패키지계약,전문매장H,2023-01-21,60,CMS,DES-2,81900, 개인,67.0,경상도,경상도,계약확정,0,없음,남자,2.0,대구은행
