,Unnamed: 0,DATE,PERIOD,Label,A1,A2,A3,A4,A5,A6
0,0,2018-12-01T00:10:00,P1,AVG,225.63727894,228.53331646,230.78820466,230.63424530000003,232.11292692,230.63090879
1,1,2018-12-01T00:20:00,P1,AVG,225.76304436,228.51901402,230.4289614,230.93676168,231.89943544,230.56427192
2,2,2018-12-01T00:30:00,P1,AVG,225.63743092,228.04047933,230.27610189,230.3591424,231.65051201,230.31797365
3,3,2018-12-01T00:40:00,P1,AVG,224.9068543,227.64537474,229.83744437,229.83089108,231.07579471,229.69451677
4,4,2018-12-01T00:50:00,P1,AVG,224.79807684,227.71019124,229.88812296,229.96260532,231.00418368,229.58653348
5,5,2018-12-01T01:00:00,P1,AVG,225.20130976,227.71965451,229.89938394,229.80093583,231.077087,229.62890522
6,6,2018-12-01T01:10:00,P1,AVG,224.55397684,227.20087104,229.49464294,229.3175184,230.62725396,229.38876134
7,7,2018-12-01T01:20:00,P1,AVG,224.06448411,226.54359941,228.77569428,228.79782699,230.04020375,228.69544698
8,8,2018-12-01T01:30:00,P1,AVG,223.66256537,226.32655065,228.75811631,228.63676741,229.85094128,228.53654539
9,9,2018-12-01T01:40:00,P1,AVG,223.80828571,226.43366675,228.68936604,228.78005441,230.05995696,228.74296473
10,10,2018-12-01T01:50:00,P1,AVG,223.66663989,226.33850238,228.75929363,228.81664964,229.88339507,228.66440438
11,11,2018-12-01T02:00:00,P1,AVG,223.96901743,226.68783878,228.77593682,229.02482148,230.06636931,228.85318675
12,12,2018-12-01T02:10:00,P1,AVG,223.47717338,226.26221238,228.73871309,228.59316716,229.82688025,228.4702465
13,13,2018-12-01T02:20:00,P1,AVG,223.79419948,226.50221023,228.65241542,228.91558298,230.04542405,228.68441898
14,14,2018-12-01T02:30:00,P1,AVG,223.74223294,226.53380866,228.88689712,228.66081508,229.88556366,228.60506715
15,15,2018-12-01T02:40:00,P1,AVG,223.891492,226.71450538,228.70266013,228.94848584,230.09463983,228.70829168
16,16,2018-12-01T02:50:00,P1,AVG,223.9341588,226.44145558,228.92504274,228.65692388,230.03417636,228.8815539
17,17,2018-12-01T03:00:00,P1,AVG,223.67337613,226.55656842,228.75900277,228.85130815,230.09012751,228.70396918
18,18,2018-12-01T03:10:00,P1,AVG,224.15679493,226.80059293,229.17963351,229.08274383,230.30023681,229.0388487
19,19,2018-12-01T03:20:00,P1,AVG,224.81081789,227.49753654,229.83753044,229.71940277,230.98277797,229.56660781
20,20,2018-12-01T03:30:00,P1,AVG,224.63890185,227.41349298,229.90549938,229.65735898,230.93118485,229.42034795
21,21,2018-12-01T03:40:00,P1,AVG,224.77335765,227.58956158,229.69426144,229.81121026,230.96297243,229.54494119
22,22,2018-12-01T03:50:00,P1,AVG,224.68604971,227.44074119,229.78066509,229.75282958,230.93463389,229.51449139
23,23,2018-12-01T04:00:00,P1,AVG,224.64853424,227.53994083,229.86496401,229.90625231,230.97440401,229.54540702
24,24,2018-12-01T04:10:00,P1,AVG,224.7820706,227.45384115,229.71112196,229.76326071,230.98416297,229.54065527
25,25,2018-12-01T04:20:00,P1,AVG,224.16928354,227.18501957,229.87093029,229.25407032,231.02962605,229.33298346
26,26,2018-12-01T04:30:00,P1,AVG,224.76171365,227.35940553,229.88529111,229.48359533,231.14211928,229.50357875
27,27,2018-12-01T04:40:00,P1,AVG,225.12148376,227.13426879,229.95704459,229.98110044,231.14013061,229.55808778
28,28,2018-12-01T04:50:00,P1,AVG,224.43541003,227.03195719,229.77933449,229.55356396,231.02566083,229.30135019
29,29,2018-12-01T05:00:00,P1,AVG,224.23874961,227.18857180000003,229.61993686,229.65746806,230.9165954,229.55799068
30,30,2018-12-01T05:10:00,P1,AVG,224.62349571,227.81070122,230.29488841,229.74894373,231.11430146,229.70886323
31,31,2018-12-01T05:20:00,P1,AVG,226.01619584,228.64556146,230.9892411,230.91532478,232.14886093,230.65245829
32,32,2018-12-01T05:30:00,P1,AVG,225.89642421,228.63200601,230.85924882,230.86924006,232.01926678,230.55054005
33,33,2018-12-01T05:40:00,P1,AVG,225.8011321,228.56601504,230.75114573,230.82169463,232.04890242,230.74570707
34,34,2018-12-01T05:50:00,P1,AVG,225.76138789,228.50426374,230.78399965,230.7113807,231.99812217,230.65485628
35,35,2018-12-01T06:00:00,P1,AVG,225.79459793,228.58678033,230.75347425,230.90991868,231.97290444,230.63714518
36,36,2018-12-01T06:10:00,P1,AVG,225.72986972,228.54754147,230.79109525,230.76057894,231.96095576,230.63418076
37,37,2018-12-01T06:20:00,P1,AVG,225.59928459,228.54379547,230.76998276,230.86375697,231.9353944,230.53537859
38,38,2018-12-01T06:30:00,P1,AVG,225.70766216,228.68672966,230.7005037,230.93590245,232.08711997,230.53045515
39,39,2018-12-01T06:40:00,P1,AVG,225.71901124,228.6119618,230.64961377,230.90067972,232.11876458,230.5842186
40,40,2018-12-01T06:50:00,P1,AVG,225.68637206,228.55929346,230.75547451,230.87787502,232.0300903,230.66148779
41,41,2018-12-01T07:00:00,P1,AVG,225.86396538,228.4492124,230.78178391,230.84314704,232.04328206,230.70730144
42,42,2018-12-01T07:10:00,P1,AVG,225.72046741,228.61876749,230.7788151,230.86989622,231.97546152,230.72284349
43,43,2018-12-01T07:20:00,P1,AVG,225.80286706,228.26948864,230.82244126,230.67459008,231.94156724,230.71893071
44,44,2018-12-01T07:30:00,P1,AVG,225.43088238,228.29706888,230.93489328,231.02615574,231.79596736,230.41062924
45,45,2018-12-01T07:40:00,P1,AVG,225.88180859,228.57952409,230.93019888,231.03783427,231.96615468,230.47852137
46,46,2018-12-01T07:50:00,P1,AVG,226.57263563,229.11171122,231.23133035,230.89267731,231.87304459,230.4417986
47,47,2018-12-01T08:00:00,P1,AVG,226.5718225,229.05879092,230.9893688,231.48642157,232.17827845,230.35262337
48,48,2018-12-01T08:10:00,P1,AVG,227.34991233,229.34520192,231.39519584,230.99148913,231.8756219,230.35615664
49,49,2018-12-01T08:20:00,P1,AVG,227.66627048,229.57859772,231.59408427,231.19829361,231.85088315,230.35561767
50,50,2018-12-01T08:30:00,P1,AVG,227.56955493,229.67546955,231.42245544,231.4563052,231.91555721,230.41709939
51,51,2018-12-01T08:40:00,P1,AVG,227.98362794,229.87845574,231.77142714,231.21872908,231.73286573,230.23234516
52,52,2018-12-01T08:50:00,P1,AVG,228.0535736,230.00802108,231.67922863,231.40552475,231.76932052,230.1499297
53,53,2018-12-01T09:00:00,P1,AVG,228.06354241,230.13948137,231.65417011,231.30635752,231.7877734,230.02652507
54,54,2018-12-01T09:10:00,P1,AVG,228.40854328,230.05203965,231.79820763,231.25574480000003,231.62599596,229.98924055
55,55,2018-12-01T09:20:00,P1,AVG,228.41652759,230.32303486,231.8746141,231.37138722,231.57229581,229.93656013
56,56,2018-12-01T09:30:00,P1,AVG,229.01042731,230.17894437,232.15482246,231.43162592,231.43772138,229.98912006
57,57,2018-12-01T09:40:00,P1,AVG,228.7016512,230.48730494,231.92172656,231.29662425,231.47846067,229.80531230000005
58,58,2018-12-01T09:50:00,P1,AVG,228.91563101,230.43017898,231.9189846,231.35217039,231.47630787,229.78174542
59,59,2018-12-01T10:00:00,P1,AVG,228.85142616,230.49572322,231.97941971,231.34922212,231.4069657,229.71934663
60,60,2018-12-01T10:10:00,P1,AVG,228.97983409,230.66564774,231.89877725,231.25428348,231.26336475,229.60624947
61,61,2018-12-01T10:20:00,P1,AVG,229.07905599,230.70687395,231.9161721,231.26244729,231.20495877,229.51940488
62,62,2018-12-01T10:30:00,P1,AVG,229.15940754,230.64035,231.91729173,231.30328232,231.25690896,229.49756296
63,63,2018-12-01T10:40:00,P1,AVG,229.06858715,230.67580489,232.01471759,231.3497782,231.24459964,229.52770175
64,64,2018-12-01T10:50:00,P1,AVG,229.08012677,230.71409299,232.02291759,231.34542364,231.24764596,229.53494931
65,65,2018-12-01T11:00:00,P1,AVG,229.21048055,230.58865624,231.98880131,231.26000452,231.21644021,229.48765738
