DATE,Target,Etching1,Etching2,Etching3,CVD1,CVD2,CVD3,Photo1,Photo2,D2TI13027 24,D2TI13029 18,D2TI13029 19,D2TI13029 20,D2TI13030 1,D2TI13031 21,D2TI13032 16,D2TI13047 20,D2TI13050 12,D2TI13078 8,D2TI13084 18,D2TI13102 24,D2TI13105 23,D2TI13107 8,D2TI13108 7,D2TI13108 8,D2TI13109 5,D2TI13109 7,D2TI13109 9,D2TI13109 17,D2TI13109 20,D2TI13110 13,D2TI13123 6,D2TI13132 1,D2TI13132 8,D2TI13132 23,D2TI13134 19,D2TI13135 3,D2TI13152 10,D2TI13152 23,D2TI13206 4,D2TI13206 16,D2TI13208 9,D2TI13208 24,D2TI13215 19,D2TI13415 21,D2TI14002 22,D2TI14009 2,D2TI14010 6,D2TI14010 23,D2TI14021 7,D2TI16002 2,D2TI17103 15,D2TI17103 22,D2TI17104 15,D2TI17105 4,D2TI17105 14,D2TI17106 5,D2TI17107 14,D2TI17109 6,D2TI17109 9,D2TI17109 14,D2TI17109 15,D2TI18038 13,D2TIC13007 7,D2TIC13007 8,D2TIC13111 11
2017-01-23,0.1,34.120371483,16.241512127,0.0070162786,0.0065147624,0.0109393942,26.249820797,35,70.398823518,197.56591997,193.36796639,193.14928414,192.87288888,190.08813027,187.42580239,185.38676695,224.35161535,221.40717589,215.58521144,226.80404548,228.94708858,224.16571905,220.9233954,216.5153596,216.42914161,205.96400062,204.90940445,206.4920534,204.8604463,205.20739475,199.353466,154.99364059,156.45915153,156.53556046,156.52435573,139.77643729,133.15732295,156.4968392,156.30565599,158.8389424,159.18861718,136.8078225,137.19838659,139.7174453,227.91799411,178.4368955,-1.97560697,21.209085824,20.327776482,2.1131890681,153.99402258,150.43087922,150.11081039,70.238102724,62.306726873,62.082530347,127.18149234,108.03879419,146.5848352,146.69264891,146.40218092,146.54081683,152.00728146,128.02021623,127.97739169,191.2252709
2017-01-23,0.4,35.555397271,17.488486284,0.0062350801,0.0067036967,0.0112160877,26.249998093,35,73.097357873,196.40589766,,191.48123639,191.49037562,189.40751625,185.77387148,183.33029541,224.66767713,218.93816582,215.84550538,223.50826276,229.69317805,224.91537727,220.11527736,216.03107672,215.71492535,205.1307447,204.78570312,204.13217124,205.47821303,205.30592528,197.79611055,156.83167013,156.50807925,156.4508939,156.37670801,137.76373785,134.56985956,156.19038797,156.07747018,158.90597155,158.82903372,136.97271784,135.39651632,137.65700351,227.61651075,177.65921799,-2.599551009,20.462926166,21.738945178,1.0857055786,154.36478077,150.71822061,150.23712969,70.170168264,62.36514204,62.473444822,125.35156915,107.53238286,146.76158351,147.26682553,146.8655175,146.90882596,151.95492859,128.06227675,128.04142625,190.76957982
2017-01-23,0.7,34.180587792,33.914755721,0.0053518343,0.0052737819,0.0106250937,16.499006251,0.0053267531,67.523129927,198.66628363,,193.80026222,193.99413056,187.97992649,188.74263869,185.84979939,224.4832942,219.56079943,215.58147798,223.74059903,233.88663752,229.4682624,223.24858632,218.90306068,218.98740987,205.74238337,207.44359093,206.50605381,207.89123034,207.03442278,199.86019374,157.04321974,156.43536786,156.66548464,156.83659021,140.94720555,132.21371163,156.30227835,156.36875448,158.8417495,159.0704168,138.36802911,143.09423164,141.1128297,227.85849717,180.108088,-2.929075601,25.046260463,28.70709655,0.5301974873,154.1152369,151.17878762,151.84033926,70.115689827,62.386820151,62.574479479,125.75458933,108.05512763,147.24991138,147.32796509,147.46656891,147.40066164,152.10720114,128.03607246,128.05205066,191.9128784
2017-01-23,0.6,33.64492288,38.479159354,0.0036184962,0.0039080635,0.0118637094,0.015148664,0.0038373552,67.504565906,198.52216771,,193.06105274,193.16250415,190.91090209,188.11345506,185.55684912,223.8770705,217.20973392,212.5852373,223.02279378,234.9111666,230.65095505,225.26664226,219.90121565,220.45146558,208.22849977,208.45046692,209.13647517,208.85063646,208.87929185,202.27588472,157.85171939,156.81495904,156.77101631,156.76062036,141.88482185,137.77323596,156.25629895,156.1930272,158.98613217,158.87402743,143.77634994,140.71334687,141.72450099,227.50100151,181.22122674,-1.795287503,30.225940352,31.267192653,0.9703481589,156.29009009,153.52697521,154.20561078,70.029090339,62.714692254,62.721510532,126.29740214,108.7750524,147.5218309,147.56302846,147.78780384,147.86867815,152.03059127,128.06295775,128.04474886,192.93768564
2017-01-23,0.7,31.111386901,44.486478868,0.0033770444,0.0050331563,0.0088666627,0.0158951322,0.0042524953,67.887252462,197.03010866,,192.44761203,192.23759903,190.43560179,187.05356116,184.99919422,223.99628857,218.87552903,215.18577917,223.35982017,233.55007081,228.80464298,225.26929527,220.13562265,220.70425187,209.80831443,208.40600658,210.12109166,208.18974213,209.3122342,202.42926164,158.25348183,156.79003441,156.9891689,156.7875837,139.10927974,136.52221372,156.17646498,155.93812398,158.88413404,158.8204217,139.43195919,138.81643002,139.65107559,226.81175327,180.7539693,-0.677051864,33.217772545,32.955879349,1.2220937994,157.96934803,155.642366,155.58088397,70.77648877,62.895191763,63.327251473,126.6471269,109.79387202,147.89707333,148.18045883,148.37172464,148.27056046,152.07933478,127.98156932,128.00273587,193.78806173
2017-01-24,0.5,32.716936269,52.673978414,0.0033704866,0.0040756208,0.0098983855,0.0139913718,0.0037260151,67.607298696,197.72806284,192.56096785,192.78367002,192.6708691,189.34577313,187.42036834,184.66788301,224.05620635,217.60388103,213.10495417,222.94022528,233.47777659,229.39958578,225.21956723,220.35961031,220.19974985,209.39772672,208.79462297,208.89642198,209.35035733,209.65487597,201.66331096,158.06349992,156.72061174,156.72206311,156.63894386,139.71641794,134.7582146,155.82604514,155.69999272,158.58822433,158.58160728,139.18272836,139.00068375,139.94842213,227.00291416,180.62142797,-0.761978213,31.083016993,28.294683701,1.1658727106,157.14355966,154.28491643,154.87314748,70.180628969,63.288744486,62.789723435,127.31120812,110.25236671,147.95904151,147.67080045,148.04142667,147.86920296,151.94457726,127.95804122,127.96760338,193.80572021
2017-01-24,0.4,32.727433521,50.002410581,0.0042499128,0.0028035562,0.0077998442,0.0150657051,0.0044038006,67.799725841,198.31026274,,193.19086284,192.99540662,189.65103678,187.84517419,185.00690017,224.08121973,218.16603397,214.29308015,222.35246945,233.43537049,229.23656062,225.67607903,221.19070378,220.89111597,209.27578337,209.92979209,208.43887916,209.52483803,208.76398213,201.70140112,157.88163788,156.61966776,156.56072811,156.47290312,139.34791862,135.32183822,155.61100735,155.45175602,158.57119653,158.53195938,140.15829413,140.09575126,140.41553412,226.92393518,180.42946591,-1.040001444,27.907795522,26.884935639,1.0844881612,157.41163352,154.31440007,154.60815215,70.156384744,63.094450802,62.924383144,127.50328835,110.2269063,148.02769116,148.08239314,147.75183084,147.6884549,151.88432,128.04688583,128.06324396,194.39026435
2017-01-24,0.2,34.102569126,50.75503011,0.0041147129,0.0031296676,0.0095690683,0.0146283106,1.0988719416,67.258110819,,193.98161172,194.17697537,194.02867822,189.97286351,188.68390778,185.99988807,225.01512976,218.23704111,213.73050774,223.73245426,234.35988106,230.40657205,225.88900025,221.69951561,221.20612971,208.08278584,209.86530539,209.46430421,210.70469087,209.25444546,203.30871075,157.73070731,156.4773179,156.40857809,156.42360786,139.36330845,135.2852123,155.37770222,155.36284095,158.51075534,158.65414794,139.4245353,139.55884796,140.46124605,227.7608877,181.12396642,-0.325662771,28.160737207,28.833515201,1.2923964066,156.93250435,156.52194043,155.27118841,71.139681483,63.343030721,63.731178945,127.15143324,110.63533091,148.20715699,148.71333856,148.72388965,148.67444774,151.88616965,128.08197031,128.11867039,193.92614457
2017-01-24,0.1,33.115344901,49.809008336,0.003968124,0.0049685579,0.0092040083,0.016730791,26.396788743,66.72515299,,193.91250991,193.80505143,193.83867674,190.86839483,188.28840591,186.04478843,225.05304185,218.87716757,215.90084935,224.0762133,234.3139545,229.45451372,226.41281029,220.83804285,222.0842299,210.57272172,209.90788658,210.6343395,210.19799688,210.95639738,203.56029345,157.97762652,156.4736216,156.60184234,156.55716366,139.5221963,135.57504819,155.35369149,155.29528961,158.63993703,158.65279388,139.82746736,140.02478831,140.46682362,228.09210617,182.28922012,-0.127038627,28.428826021,27.699073116,2.0060425398,158.60530739,155.06040272,156.27638736,70.126111657,62.940087704,62.820505842,128.45757432,111.12228256,147.92370508,148.07280166,147.93678362,148.1080455,151.89496838,127.89887612,127.96797626,194.49299515
2017-01-24,0.3,33.581369246,48.97374959,0.0044999813,0.0063210298,0.009945114,0.016143812,26.385570514,67.117035422,,,193.27821952,193.52419438,190.32170712,188.14213648,185.57185412,225.12112739,218.99885962,215.61567173,224.10215558,233.29167968,230.18667715,226.03398047,221.48125091,221.23970818,210.94660993,209.80559726,210.41864271,209.9382447,211.25525902,203.10951284,158.08394643,156.54132157,156.47953438,156.38377269,138.69134483,134.68360065,155.19279052,155.17998846,158.56271395,158.53658138,138.04270878,138.69060631,139.48706132,227.9886387,182.13855897,0.0065069068,29.865559077,30.570998373,2.7145844703,159.08650745,157.5782432,158.12125389,71.126056753,63.670552188,63.603248587,128.48622032,111.57395984,148.93887098,148.64154172,148.9633776,149.19206107,151.81690545,128.04103952,128.00035197,194.57636009
