,날짜,SKU ID,SKU 명,바코드,발주가능상태,입고수량,쿠팡출고수량,쿠팡현재재고수량,자재번호,자재명,카테고리,입수,출고수량,재고수량
7618,2019-06-01,29349,리큐진한겔일반 3LNEW,8801046893111,발주가능,0,391,4283,6077374,19리큐 진한겔 알카2.7용기(일),세탁세제,4,97.75,43.81585677749361
7619,2019-06-01,29350,리큐 진한겔드럼 3L NEW,8801046893128,발주가능,0,237,1189,6077394,19리큐 진한겔 알카2.7용기(드),세탁세제,4,59.25,20.067510548523206
7620,2019-06-01,29351,울샴푸아웃도어 800ml 용기,8801046878934,발주가능,0,14,176,6077406,19울샴푸아웃도 800ml(리뉴얼),세탁세제,9,1.5555555555555556,113.14285714285714
7621,2019-06-01,29352,울샴푸아웃도어 1L 일자형 리필,8801046878941,발주가능,0,38,1493,6077404,19울샴푸아웃도 1L(리뉴얼),세탁세제,9,4.222222222222222,353.60526315789474
7622,2019-06-01,29359,Pack 2080오리지날칫솔 5+5입_탄력모,8801046888858,발주가능,0,308,5262,5009109,182080오리지날칫솔 5+5입(탄력모),덴탈케어,8,38.5,136.67532467532467
7623,2019-06-01,29364,2080스마트케어칫솔 4입,8801046244234,발주가능,0,4,0,5008124,162080 스마트케어칫솔_4입,세탁세제,8,0.5,0.0
7624,2019-06-01,29382,샤워메이트 로맨틱 퍼퓸 바디워시 1.8L,8801046999998,발주가능,0,0,0,6067105,17리큐진한겔일반용 3L알카(화),세탁세제,4,0.0,0.0
7625,2019-06-01,32052,케라시스 퍼퓸샴푸 600ml 퓨어차밍,8801046992722,발주가능,0,12,108,6075349,19KS퍼퓸샴푸퓨어차밍 600ml책,헤어케어,10,1.2,90.0
7626,2019-06-01,32053,케라시스 퍼퓸린스 600ml 러블리&로맨틱,8801046992739,발주가능,0,492,8505,6075350,19KS퍼퓸린스러블리 600ml책,헤어케어,10,49.2,172.86585365853657
7627,2019-06-01,32054,케라시스 퍼퓸린스 600ml 엘레강스,8801046992746,발주가능,0,203,5445,6075351,19KS퍼퓸린스엘레강스 600ml책,헤어케어,10,20.3,268.2266009852217
7628,2019-06-01,32055,케라시스 퍼퓸린스 600ml 퓨어차밍,8801046992753,발주가능,0,74,74,6075352,19ks퍼퓸린스퓨어차밍 600ml책,헤어케어,10,7.4,10.0
7629,2019-06-01,34399,리큐진한겔드럼 2.1L,8801046247754,발주가능,0,78,2930,6078472,19리큐 진한겔 2.1리필(드)6입A,세탁세제,6,13.0,225.3846153846154
7630,2019-06-01,34402,울샴푸오리지널 4160ml 용기,8801046878996,발주가능,0,258,4561,6068101,18울샴푸오리지 4160mL 용기(화)-수정,세탁세제,4,64.5,70.71317829457364
